상품명,가격,상품 설명
친환경 적상추 2종,2,190 원~,부드럽고 신선한 잎채소

친환경 청상추 2종,2,190 원~,초록빛 싱그러움이 담긴 쌈채소

상추&깻잎 간편쌈 120g,2,100 원,상추와 깻잎을 한번에!

친환경 유러피안 반반 상추 200g,3,980 원,두 가지 상추를 한번에

양상추 1입,1,990 원,샐러드에 빠지지 않는 아삭한 양상추

친환경 상추&깻잎 모둠쌈 120g,3,590 원,부담없이 만나는 기본 쌈 채소

친환경 롤로 상추 (적/청) 200g,2,990 원,싱그러움 가득한 두가지 채소

친환경 양상추 200g,4,190 원,냉장고 필수채소, 매일 먹는 친환경 양상추

[네떼] 간편 양상추 200g,2,690 원,손질이 필요없는 간편 양상추(1팩/200g)

친환경 포기 로메인 200g,3,190 원,청량함이 퍼지는 아삭함

한끼 깻잎 20g,1,390 원,딱 깻잎이 조금 필요할 때 !

삼겹살용 모둠쌈 350g,3,990 원,한 팩이면 쌈채소 준비 끝

친환경 쌈채소 모둠 200g,3,690 원,고기 없이 먹어도 맛있을 정도로 신선한 쌈채소 (200g)

[Dole] 로메인 하트 300g,5,990 원,아삭한 식감이 전하는 청량함

[Dole] 미니 로메인 하트 220g,5,490 원,겉잎을 떼고, 연한 잎만 소포장한 미니로메인

[팜에이트] 무농약 간편 샐러드 5종,1,900 원~,내 마음대로 골라담고 세척되어 바로 먹을 수 있는 신선한 샐러드

친환경 크리스피아노 1봉,2,700 원,독특한 모양, 아삭한 식감

친환경 로메인 (적/청) 200g,2,990 원,쌈채소부터 샐러드까지 다채롭게

곁들임 채소 2종,2,990 원,입맛을 산뜻하게 돋워줄 채소

한끼 모둠쌈 100g,1,990 원,부담 없이 즐기는 다양한 쌈 채소

친환경 알사시아 1봉,2,700 원,산뜻하고 부드러운 잎사귀

